iter	Passed	Remaining
0	0	57
1	1	63
2	2	79
3	3	81
4	4	88
5	5	93
6	7	93
7	8	93
8	9	97
9	10	96
10	11	96
11	12	94
12	13	92
13	14	90
14	15	88
15	16	86
16	17	85
17	18	83
18	19	82
19	20	80
20	21	79
21	22	78
22	23	77
23	23	75
24	24	74
25	25	72
26	26	70
27	26	69
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	31	62
34	32	60
35	33	59
36	34	58
37	35	57
38	35	56
39	36	55
40	37	53
41	38	52
42	39	51
43	39	50
44	40	49
45	40	48
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	47	36
57	48	34
58	49	34
59	49	33
60	50	32
61	51	31
62	51	30
63	52	29
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	55	23
70	56	23
71	56	22
72	57	21
73	57	20
74	58	19
75	58	18
76	59	17
77	59	16
78	60	15
79	60	15
80	61	14
81	61	13
82	61	12
83	62	11
84	62	11
85	63	10
86	63	9
87	64	8
88	64	7
89	65	7
90	65	6
91	66	5
92	66	5
93	67	4
94	67	3
95	67	2
96	68	2
97	68	1
98	69	0
99	69	0
