iter	Passed	Remaining
0	0	859
1	1	729
2	2	683
3	2	638
4	3	618
5	3	634
6	4	609
7	4	590
8	5	584
9	5	576
10	6	581
11	6	572
12	7	566
13	7	559
14	8	567
15	10	646
16	11	638
17	11	635
18	14	722
19	14	709
20	15	709
21	15	705
22	16	718
23	17	713
24	18	715
25	19	722
26	20	728
27	20	725
28	21	717
29	23	754
30	23	746
31	24	747
32	26	775
33	27	768
34	27	759
35	28	750
36	28	742
37	29	742
38	30	746
39	30	739
40	31	745
41	32	746
42	33	747
43	34	740
44	35	743
45	35	746
46	36	746
47	37	745
48	39	757
49	39	751
50	40	750
51	41	751
52	41	744
53	42	745
54	43	741
55	43	737
56	44	734
57	45	733
58	45	732
59	46	726
60	46	721
61	47	716
62	48	713
63	49	716
64	49	712
65	50	710
66	50	705
67	51	701
68	51	698
69	52	693
70	52	689
71	53	685
72	53	681
73	54	677
74	54	673
75	56	685
76	57	685
77	57	685
78	58	681
79	58	678
80	59	674
81	59	670
82	60	668
83	61	665
84	61	664
85	62	663
86	63	665
87	63	662
88	64	660
89	64	656
90	65	653
91	65	650
92	66	650
93	67	650
94	67	647
95	68	647
96	69	645
97	69	643
98	70	642
99	71	642
100	71	640
101	72	638
102	73	636
103	73	634
104	74	634
105	75	634
106	75	634
107	76	633
108	77	636
109	78	634
110	79	632
111	79	630
112	79	627
113	80	625
114	80	622
115	81	620
116	81	618
117	82	617
118	83	615
119	83	613
120	85	618
121	85	616
122	86	619
123	88	622
124	88	620
125	89	617
126	89	616
127	90	615
128	91	614
129	91	612
130	92	612
131	93	614
132	93	612
133	94	611
134	95	609
135	95	607
136	96	605
137	96	603
138	97	602
139	97	601
140	98	599
141	98	597
142	99	596
143	100	596
144	100	595
145	101	593
146	102	592
147	102	592
148	103	591
149	104	590
150	104	588
151	105	587
152	105	586
153	106	586
154	107	585
155	108	584
156	108	582
157	108	580
158	109	579
159	110	577
160	110	575
161	110	573
162	111	572
163	112	571
164	112	569
165	113	568
166	113	567
167	114	566
168	115	565
169	115	564
170	116	564
171	116	563
172	117	562
173	118	560
174	118	558
175	119	560
176	120	558
177	120	556
178	121	556
179	122	556
180	122	555
